#timestamp x y z qx qy qz qw id
108.903000 6.254952 1.669735 -0.001008 -0.000779 0.001387 0.489400 0.872058 75
110.103000 6.293161 1.718216 -0.001008 -0.000609 0.001470 0.381599 0.924327 76
111.103000 6.333096 1.750753 -0.001008 -0.000460 0.001523 0.287684 0.957724 77
112.103000 6.378716 1.774786 -0.001008 -0.000307 0.001561 0.191428 0.981505 78
113.103000 6.425244 1.792436 -0.001008 -0.000287 0.001565 0.179545 0.983748 79
114.103000 6.471917 1.810049 -0.001008 -0.000288 0.001565 0.179273 0.983798 80
115.303000 6.526479 1.831217 -0.001008 -0.000335 0.001555 0.209763 0.977751 81
116.303000 6.568177 1.855214 -0.001008 -0.000488 0.001514 0.306215 0.951961 82
117.503000 6.610919 1.894220 -0.001008 -0.000649 0.001453 0.406989 0.913432 83
118.503000 6.644057 1.931096 -0.001008 -0.000650 0.001452 0.407474 0.913215 84
119.712000 6.684481 1.976147 -0.001008 -0.000651 0.001453 0.407537 0.913187 85
120.713000 6.715671 2.013587 -0.001008 -0.000713 0.001423 0.446481 0.894792 86
121.913000 6.748111 2.062536 -0.001008 -0.000795 0.001377 0.499031 0.866583 87
122.913000 6.770611 2.106202 -0.001008 -0.000873 0.001333 0.546539 0.837432 88
124.112000 6.787279 2.160994 -0.001008 -0.001025 0.001218 0.642621 0.766182 89
125.313000 6.792199 2.219651 -0.001007 -0.001095 0.001152 0.688270 0.725453 90
126.317000 6.794915 2.271386 -0.001007 -0.001095 0.001151 0.688381 0.725347 91
127.517000 6.799490 2.355622 -0.001008 -0.001097 0.001155 0.687605 0.726083 92
128.518000 6.803474 2.427953 -0.001007 -0.001094 0.001154 0.687266 0.726404 93
129.718000 6.809488 2.535753 -0.001008 -0.001094 0.001154 0.686995 0.726660 94
131.117000 6.816583 2.661098 -0.001008 -0.001095 0.001156 0.686711 0.726929 95
132.118000 6.821733 2.750839 -0.001008 -0.001093 0.001155 0.686454 0.727172 96
133.319000 6.825063 2.857895 -0.001008 -0.001138 0.001112 0.714882 0.699243 97
134.518000 6.816403 2.964596 -0.001007 -0.001201 0.001041 0.755040 0.655677 98
136.319000 6.779826 3.120670 -0.001008 -0.001292 0.000930 0.810847 0.585256 99
137.321000 6.747746 3.203580 -0.001008 -0.001328 0.000876 0.834249 0.551385 100
138.526000 6.705263 3.303185 -0.001008 -0.001328 0.000876 0.834520 0.550976 101
139.527000 6.669891 3.385913 -0.001008 -0.001328 0.000874 0.834768 0.550600 102
140.926000 6.620362 3.501415 -0.001008 -0.001330 0.000875 0.835050 0.550172 103
141.926000 6.584665 3.584435 -0.001008 -0.001329 0.000874 0.835316 0.549769 104
142.931000 6.549163 3.666814 -0.001007 -0.001329 0.000872 0.835555 0.549405 105
144.130000 6.506359 3.765880 -0.001008 -0.001330 0.000872 0.835829 0.548988 106
145.330000 6.463573 3.864630 -0.001008 -0.001330 0.000871 0.836102 0.548572 107
146.538000 6.419829 3.963632 -0.001008 -0.001347 0.000846 0.846767 0.531961 108
156.356000 5.686061 4.214274 -0.001008 -0.001590 -0.000044 0.999627 -0.027261 109
158.357000 5.506540 4.205526 -0.001008 -0.001591 -0.000042 0.999686 -0.025022 110
161.763000 5.201008 4.189726 -0.001008 -0.001591 -0.000046 0.999635 -0.026962 111
162.963000 5.093268 4.183867 -0.001008 -0.001591 -0.000046 0.999616 -0.027658 112
164.363000 4.967644 4.176843 -0.001008 -0.001590 -0.000046 0.999593 -0.028483 113
166.363000 4.788286 4.166485 -0.001008 -0.001591 -0.000050 0.999561 -0.029588 114
169.005000 4.550801 4.152115 -0.001008 -0.001590 -0.000050 0.999514 -0.031130 115
173.405000 4.156908 4.126722 -0.001008 -0.001590 -0.000055 0.999433 -0.033630 116
175.006000 4.013198 4.116950 -0.001008 -0.001590 -0.000056 0.999408 -0.034354 117
186.828000 3.070088 3.814323 -0.001008 0.001271 0.000960 -0.798446 0.602064 118
189.032000 3.068476 3.808253 -0.001008 0.001247 0.000990 -0.783938 0.620837 119
